member_id,mandaatgroep,mandaat,belangrijk_mandaat,datum_van,datum_tot
4399,Lokale mandaten,gemeenteraadslid Herk-de-Stad,N,2009-03-09T00:00:00+0100,2012-02-09T23:59:59+0100
4399,Lokale mandaten,schepen Herk-de-Stad,N,2013-01-01T00:00:00+0100,2018-12-31T23:59:59+0100
4399,Federale mandaten,deelstaatsenator,N,2019-07-04T00:00:00+0200,2024-05-27T23:59:59+0200
4399,Federale mandaten,volksvertegenwoordiger kieskring Limburg,N,2014-05-25T00:00:00+0200,2019-05-25T23:59:59+0200
4399,Federale mandaten,volksvertegenwoordiger kieskring Limburg,N,2010-06-13T00:00:00+0200,2014-05-24T23:59:59+0200
4399,Europese mandaten,vast lid van de Benelux Interparlementaire Assemblee,N,2024-10-09T00:00:00+0200,
4399,Europese mandaten,plaatsvervangend lid van de Benelux Interparlementaire Assemblee,N,2019-12-06T00:00:00+0100,2024-06-08T23:59:59+0200
4617,Lokale mandaten,gemeenteraadslid Vilvoorde,N,2019-01-07T00:00:00+0100,2024-12-31T23:59:59+0100
4077,Lokale mandaten,provincieraadslid Oost-Vlaanderen,N,2012-12-03T00:00:00+0100,2014-06-17T23:59:59+0200
4077,Federale mandaten,deelstaatsenator,N,2024-07-18T00:00:00+0200,
4077,Federale mandaten,deelstaatsenator,N,2019-07-04T00:00:00+0200,2024-05-27T23:59:59+0200
4077,Federale mandaten,deelstaatsenator,N,2014-10-14T00:00:00+0200,2019-05-23T23:59:59+0200
4077,Federale mandaten,eerste ondervoorzitter van de Senaat,J,2024-07-25T00:00:00+0200,
4077,Federale mandaten,eerste ondervoorzitter van de Senaat,J,2019-07-18T00:00:00+0200,2024-07-18T23:59:59+0200
4077,Europese mandaten,lid van het Comité van de Regio's,N,2020-01-26T00:00:00+0100,
4077,Europese mandaten,Belgisch delegatieleider Comité van de Regio's ENVE ECON Brussel,N,2019-06-18T00:00:00+0200,
4077,Europese mandaten,vast lid van de Parlementaire Vergadering van de Raad van Europa,N,2024-07-25T00:00:00+0200,
4077,Europese mandaten,vast lid van de Parlementaire Vergadering van de Raad van Europa,N,2021-02-26T00:00:00+0100,2024-05-27T23:59:59+0200
4077,Europese mandaten,vast lid van de Parlementaire Vergadering van de Raad van Europa,N,2019-07-18T00:00:00+0200,2020-12-02T23:59:59+0100
4077,Europese mandaten,plaatsvervangend lid van de Parlementaire Vergadering van de Raad van Europa,N,2015-03-06T00:00:00+0100,2019-05-17T23:59:59+0200
4618,Lokale mandaten,burgemeester Tielt-Winge,N,2025-01-02T00:00:00+0100,
4618,Lokale mandaten,gemeenteraadslid Tielt-Winge,N,2025-01-02T00:00:00+0100,
4618,Lokale mandaten,gemeenteraadslid Leuven,N,2019-01-02T00:00:00+0100,2023-06-26T23:59:59+0200
4618,Federale mandaten,volksvertegenwoordiger kieskring Vlaams-Brabant,N,2019-05-26T00:00:00+0200,2024-05-27T23:59:59+0200
4620,Lokale mandaten,gemeenteraadslid Waregem,N,2015-01-13T00:00:00+0100,2017-07-03T23:59:59+0200
3411,Lokale mandaten,OCMW-voorzitter Antwerpen,N,2013-01-07T00:00:00+0100,2014-07-29T23:59:59+0200
3411,Lokale mandaten,gemeenteraadslid Antwerpen,N,2013-01-02T00:00:00+0100,
3411,Lokale mandaten,schepen Antwerpen,N,2013-01-07T00:00:00+0100,2014-07-29T23:59:59+0200
3411,Lokale mandaten,provincieraadslid Antwerpen,N,2006-01-01T00:00:00+0100,2009-01-01T23:59:59+0100
3411,Federale mandaten,gemeenschapssenator,N,2010-07-13T00:00:00+0200,2013-01-07T23:59:59+0100
3411,Minister,"minister-president van de Vlaamse Regering, Vlaams minister van Binnenlands Bestuur, Inburgering, Wonen, Gelijke Kansen en Armoedebestrijding",N,2019-07-02T00:00:00+0200,2019-10-01T07:00:00+0200
3411,Minister,"viceminister-president van de Vlaamse Regering, Vlaams minister van Binnenlands Bestuur, Inburgering, Wonen, Gelijke Kansen en Armoedebestrijding",N,2014-07-25T00:00:00+0200,2019-07-01T00:00:00+0200
4078,Lokale mandaten,burgemeester Duffel,N,2019-01-01T00:00:00+0100,
4078,Lokale mandaten,gemeenteraadslid Duffel,N,2013-01-02T00:00:00+0100,
4078,Lokale mandaten,schepen Duffel,N,2013-01-02T00:00:00+0100,2018-12-31T23:59:59+0100
4078,Europese mandaten,plaatsvervangend lid van de Benelux Interparlementaire Assemblee,N,2024-10-09T00:00:00+0200,
4400,Lokale mandaten,provincieraadslid Vlaams-Brabant,N,1991-11-24T00:00:00+0100,2019-06-17T00:00:00+0200
4621,Lokale mandaten,gemeenteraadslid Oostende,N,2024-12-02T00:00:00+0100,
3418,Lokale mandaten,gemeenteraadslid Genk,N,2007-01-01T00:00:00+0100,
4622,Lokale mandaten,burgemeester Koksijde,N,2024-12-05T00:00:00+0100,
4622,Lokale mandaten,gemeenteraadslid Koksijde,N,2019-01-08T00:00:00+0100,
4622,Federale mandaten,deelstaatsenator,N,2024-07-18T00:00:00+0200,2024-11-30T23:59:59+0100
4622,Federale mandaten,volksvertegenwoordiger kieskring West-Vlaanderen,N,2019-05-26T00:00:00+0200,2024-05-27T23:59:59+0200
4622,Europese mandaten,Europees Parlementslid,N,2014-10-14T00:00:00+0200,2018-11-11T23:59:59+0100
4622,Minister,minister van Defensie,N,2018-11-12T00:00:00+0100,2018-12-09T23:59:59+0100
3965,Lokale mandaten,burgemeester Merelbeke-Melle,N,2025-01-02T00:00:00+0100,
3965,Lokale mandaten,OCMW-voorzitter Merelbeke,N,2013-01-05T00:00:00+0100,
3965,Lokale mandaten,gemeenteraadslid Merelbeke-Melle,N,2025-01-02T00:00:00+0100,
3965,Lokale mandaten,gemeenteraadslid Merelbeke,N,2013-01-01T00:00:00+0100,2024-12-31T23:59:59+0100
3965,Lokale mandaten,eerste schepen Merelbeke,N,2019-01-11T00:00:00+0100,2025-01-01T23:59:59+0100
3965,Lokale mandaten,schepen Merelbeke,N,2013-01-01T00:00:00+0100,2018-12-31T23:59:59+0100
3965,Federale mandaten,volksvertegenwoordiger kieskring Oost-Vlaanderen,N,2019-05-26T00:00:00+0200,2024-05-27T23:59:59+0200
3965,Federale mandaten,volksvertegenwoordiger kieskring Oost-Vlaanderen,N,2014-05-25T00:00:00+0200,2019-05-25T23:59:59+0200
3965,Federale mandaten,fractievoorzitter in de Kamer van Volksvertegenwoordigers,N,2019-06-27T00:00:00+0200,2020-05-28T23:59:59+0200
1847,Lokale mandaten,gemeenteraadslid Jette,N,2001-01-01T00:00:00+0100,2012-12-31T23:59:59+0100
1847,Lokale mandaten,provincieraadslid fractievoorzitter Brabant,N,1991-11-24T00:00:00+0100,1994-10-09T23:59:59+0100
1847,Mandaten in andere deelstaatparlementen,Brussels erevolksvertegenwoordiger,N,2025-07-24T00:00:00+0200,
1847,Mandaten in andere deelstaatparlementen,lid van het Brussels Hoofdstedelijk Parlement,N,2019-05-26T00:00:00+0200,2024-06-08T23:59:59+0200
1847,Mandaten in andere deelstaatparlementen,lid van het Brussels Hoofdstedelijk Parlement,N,2014-05-25T00:00:00+0200,2019-05-25T23:59:59+0200
1847,Mandaten in andere deelstaatparlementen,lid van het Brussels Hoofdstedelijk Parlement,N,2009-06-07T00:00:00+0200,2014-05-24T23:59:59+0200
1847,Mandaten in andere deelstaatparlementen,lid van het Brussels Hoofdstedelijk Parlement,N,2004-06-13T00:00:00+0200,2009-06-06T23:59:59+0200
1847,Mandaten in andere deelstaatparlementen,lid van de Brusselse Hoofdstedelijke Raad,N,1999-06-13T00:00:00+0200,2004-06-12T23:59:59+0200
1847,Mandaten in andere deelstaatparlementen,lid van de Brusselse Hoofdstedelijke Raad,N,1995-05-21T00:00:00+0200,1999-06-12T23:59:59+0200
4623,Lokale mandaten,gemeenteraadslid Kortrijk,N,2019-01-03T00:00:00+0100,
4623,Federale mandaten,deelstaatsenator,N,2024-07-18T00:00:00+0200,
4110,Lokale mandaten,burgemeester Izegem,N,2013-01-01T00:00:00+0100,2024-12-02T23:59:59+0100
4110,Lokale mandaten,gemeenteraadslid Izegem,N,2007-01-01T00:00:00+0100,
4110,Federale mandaten,volksvertegenwoordiger kieskring West-Vlaanderen,N,2010-07-20T00:00:00+0200,2014-05-24T00:00:00+0200
