member_id,belangrijk_mandaat,titel,omschrijving,datum_van,datum_tot,commissie_id,commissie_afkorting,commissie_titel
4605,J,"Commissie voor Landbouw, Visserij en Plattelandsbeleid",plaatsvervangend lid,2024-10-09T16:45:00+0200,,1832494,LAN,"Commissie voor Landbouw, Visserij en Plattelandsbeleid"
4605,J,"Commissie voor Buitenlands Beleid, Europese Aangelegenheden en Internationale Samenwerking",vast lid,2024-10-09T16:45:00+0200,,1832491,BUI,"Commissie voor Buitenlands Beleid, Europese Aangelegenheden en Internationale Samenwerking"
4605,J,"Commissie voor Cultuur, Jeugd, Sport en Media",vast lid,2024-10-09T16:45:00+0200,,1832492,CUL,"Commissie voor Cultuur, Jeugd, Sport en Media"
4605,J,Interparlementaire Commissie van de Nederlandse Taalunie,lid,2024-10-09T16:45:00+0200,,1832506,IPC,Interparlementaire Commissie van de Nederlandse Taalunie
4387,J,Bureau,tweede ondervoorzitter,2025-01-08T14:16:00+0100,,1829757,BUR,Bureau
4387,J,Uitgebreid Bureau,tweede ondervoorzitter,2025-01-08T14:16:00+0100,,1829758,UBUR,Uitgebreid Bureau
4387,J,"Commissie voor Buitenlands Beleid, Europese Aangelegenheden en Internationale Samenwerking",plaatsvervangend lid,2024-10-09T16:45:00+0200,,1832491,BUI,"Commissie voor Buitenlands Beleid, Europese Aangelegenheden en Internationale Samenwerking"
4387,J,Commissie voor Onderwijs,plaatsvervangend lid,2024-10-09T16:45:00+0200,,1832497,OND,Commissie voor Onderwijs
4387,J,"Commissie voor Cultuur, Jeugd, Sport en Media",vast lid,2024-10-09T16:45:00+0200,,1832492,CUL,"Commissie voor Cultuur, Jeugd, Sport en Media"
4387,J,"Commissie voor Wonen, Toerisme, Energie en Klimaat",vast lid,2024-10-09T16:45:00+0200,,1832499,WON,"Commissie voor Wonen, Toerisme, Energie en Klimaat"
4387,J,Interparlementaire Commissie van de Nederlandse Taalunie,lid,2024-10-09T16:45:00+0200,,1832506,IPC,Interparlementaire Commissie van de Nederlandse Taalunie
4387,J,Commissie voor Reglement en Samenwerking,tweede ondervoorzitter,2025-01-08T14:16:00+0100,,1832500,REG,Commissie voor Reglement en Samenwerking
4387,J,Bureau,eerste ondervoorzitter,2024-07-02T18:25:00+0200,2025-01-08T14:15:00+0100,1829757,BUR,Bureau
4387,J,Uitgebreid Bureau,eerste ondervoorzitter,2024-07-02T18:25:00+0200,2025-01-08T14:15:00+0100,1829758,UBUR,Uitgebreid Bureau
4387,J,Commissie voor Reglement en Samenwerking,eerste ondervoorzitter,2024-10-09T16:45:00+0200,2025-01-08T14:15:59+0100,1832500,REG,Commissie voor Reglement en Samenwerking
4387,J,Commissie ad hoc,vast lid,2024-07-04T14:00:00+0200,2024-10-09T16:44:59+0200,1829775,AH,Commissie ad hoc
4387,J,"Commissie voor Algemeen Beleid, Financiën, Begroting en Justitie",plaatsvervangend lid,2019-10-09T14:00:00+0200,2024-06-08T23:59:59+0200,1332937,FIN,"Commissie voor Algemeen Beleid, Financiën, Begroting en Justitie"
