fractie_id,member_id,volledige_naam,voornaam,naam,kieskring,zetel,deelstaatsenator,is_huidige_vv,self_opendata_url,fotowebpath
1829397,4610,Eva De Bleeker,Eva,De Bleeker,Kieskring Vlaams-Brabant,57,False,J,https://ws.vlpar.be/e/opendata/vv/4610?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=2066059
1829397,4395,Stephanie D'Hose,Stephanie,D'Hose,Kieskring Oost-Vlaanderen,77,True,J,https://ws.vlpar.be/e/opendata/vv/4395?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=2075813
1829397,3965,Egbert Lachaert,Egbert,Lachaert,Kieskring Oost-Vlaanderen,10,False,J,https://ws.vlpar.be/e/opendata/vv/3965?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=2065310
1829397,4445,Tom Ongena,Tom,Ongena,Kieskring Antwerpen,76,False,J,https://ws.vlpar.be/e/opendata/vv/4445?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=1734782
1829397,3446,Lydia Peeters,Lydia,Peeters,Kieskring Limburg,24,False,J,https://ws.vlpar.be/e/opendata/vv/3446?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=1483323
1829397,4627,Jasper Pillen,Jasper,Pillen,Kieskring West-Vlaanderen,99,True,J,https://ws.vlpar.be/e/opendata/vv/4627?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=2066747
1829397,4061,Gwendolyn Rutten,Gwendolyn,Rutten,Kieskring Vlaams-Brabant,41,False,J,https://ws.vlpar.be/e/opendata/vv/4061?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=1675189
1829397,4629,Marianne Verhaert,Marianne,Verhaert,Kieskring Antwerpen,98,False,J,https://ws.vlpar.be/e/opendata/vv/4629?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=2065832
1829400,4620,M'Hamed Kasmi,M'Hamed,Kasmi,Kieskring Brussel-Hoofdstad,130,False,J,https://ws.vlpar.be/e/opendata/vv/4620?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=2066680
-1,4422,Maurits Vande Reyde,Maurits,Vande Reyde,Kieskring Vlaams-Brabant,110,False,J,https://ws.vlpar.be/e/opendata/vv/4422?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=1955927
