fractie_id,member_id,volledige_naam,voornaam,naam,kieskring,zetel,deelstaatsenator,is_huidige_vv,self_opendata_url,fotowebpath
1829394,4631,Kris Poelaert,Kris,Poelaert,Kieskring Vlaams-Brabant,94,False,J,https://ws.vlpar.be/e/opendata/vv/4631?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=2065602
1829394,3433,Katrien Schryvers,Katrien,Schryvers,Kieskring Antwerpen,20,False,J,https://ws.vlpar.be/e/opendata/vv/3433?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=1482712
1829394,4636,Toon Vandeurzen,Toon,Vandeurzen,Kieskring Limburg,120,False,J,https://ws.vlpar.be/e/opendata/vv/4636?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=2065601
1829394,4728,Lien Van Dooren,Lien,Van Dooren,Kieskring Oost-Vlaanderen,119,False,J,https://ws.vlpar.be/e/opendata/vv/4728?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=2278600
1829394,4425,Loes Vandromme,Loes,Vandromme,Kieskring West-Vlaanderen,37,False,J,https://ws.vlpar.be/e/opendata/vv/4425?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=1482472
1829394,4642,Mien Van Olmen,Mien,Van Olmen,Kieskring Antwerpen,92,False,J,https://ws.vlpar.be/e/opendata/vv/4642?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=2065577
1829394,3918,Peter Van Rompuy,Peter,Van Rompuy,Kieskring Vlaams-Brabant,7,True,J,https://ws.vlpar.be/e/opendata/vv/3918?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=2215856
1829394,4443,Brecht Warnez,Brecht,Warnez,Kieskring West-Vlaanderen,53,False,J,https://ws.vlpar.be/e/opendata/vv/4443?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=2065390
1829399,4606,Debby Burssens,Debby,Burssens,Kieskring Oost-Vlaanderen,80,True,J,https://ws.vlpar.be/e/opendata/vv/4606?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=2065584
1829399,4609,Gaby Colebunders,Gaby,Colebunders,Kieskring Limburg,59,False,J,https://ws.vlpar.be/e/opendata/vv/4609?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=2065582
1829399,4612,Line De Witte,Line,De Witte,Kieskring Vlaams-Brabant,44,False,J,https://ws.vlpar.be/e/opendata/vv/4612?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=2065583
1829399,4411,Jos D'Haese,Jos,D'Haese,Kieskring Antwerpen,12,False,J,https://ws.vlpar.be/e/opendata/vv/4411?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=2065581
1829399,4415,Lise Vandecasteele,Lise,Vandecasteele,Kieskring Antwerpen,27,False,J,https://ws.vlpar.be/e/opendata/vv/4415?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=2065651
1829399,4639,Ilona Vandenberghe,Ilona,Vandenberghe,Kieskring West-Vlaanderen,79,False,J,https://ws.vlpar.be/e/opendata/vv/4639?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=2065172
1829399,4638,Amina Vandenheuvel,Amina,Vandenheuvel,Kieskring Antwerpen,103,False,J,https://ws.vlpar.be/e/opendata/vv/4638?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=2065202
1829399,4584,Onno Vandewalle,Onno,Vandewalle,Kieskring Oost-Vlaanderen,102,False,J,https://ws.vlpar.be/e/opendata/vv/4584?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=1907670
1829399,4645,Raf Van Gestel,Raf,Van Gestel,Kieskring Antwerpen,60,True,J,https://ws.vlpar.be/e/opendata/vv/4645?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=2065029
1829395,4603,Fourat Ben Chikha,Fourat,Ben Chikha,Kieskring Oost-Vlaanderen,43,False,J,https://ws.vlpar.be/e/opendata/vv/4603?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=2065599
1829395,4607,Kim Buyst,Kim,Buyst,Kieskring Antwerpen,78,False,J,https://ws.vlpar.be/e/opendata/vv/4607?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=2065626
1829395,4617,Aimen Horch,Aimen,Horch,Kieskring Vlaams-Brabant,26,False,J,https://ws.vlpar.be/e/opendata/vv/4617?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=2065587
1829395,4619,Bram Jaques,Bram,Jaques,Kieskring Brussel-Hoofdstad,101,False,J,https://ws.vlpar.be/e/opendata/vv/4619?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=2065215
1829395,4625,Nadia Naji,Nadia,Naji,Kieskring Brussel-Hoofdstad,42,False,J,https://ws.vlpar.be/e/opendata/vv/4625?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=2065946
1829395,4628,Eva Platteau,Eva,Platteau,Kieskring Vlaams-Brabant,58,True,J,https://ws.vlpar.be/e/opendata/vv/4628?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=2065586
1829395,4409,Mieke Schauvliege,Mieke,Schauvliege,Kieskring Oost-Vlaanderen,11,False,J,https://ws.vlpar.be/e/opendata/vv/4409?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=2073519
1829395,4640,Bogdan Vanden Berghe,Bogdan,Vanden Berghe,Kieskring Antwerpen,100,False,J,https://ws.vlpar.be/e/opendata/vv/4640?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=2066671
1829395,4426,Jeremie Vaneeckhout,Jeremie,Vaneeckhout,Kieskring West-Vlaanderen,25,False,J,https://ws.vlpar.be/e/opendata/vv/4426?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=1885269
